% Start time (local timezone): 2017-06-12 09:56:32,943; End time (local timezone): 2017-06-13 09:56:32,943

% Logger.OPC.Channel1.Device2.Tank1.Status.verdiPerMin		Logger.OPC.Channel1.Device2.Tank2.Status.verdiPerMin	Logger.OPC.Channel1.Device2.Tank3.Status.verdiPerMin	Logger.OPC.Modbus.CR1000Datalogger.T_a	

% Interpolative		Interpolative	Interpolative	Interpolative	

% Time UTC	Value	Value	Value	Value	

2017-06-12 18:46:32,943	1,155151	0	0,0949707	11,50182	

2017-06-12 18:56:32,943	1,109863	4,401555E-03	8,496094E-02	11,50182	

2017-06-12 19:06:32,943	1,066161	1,21485E-03	8,623653E-02	11,41951	

2017-06-12 19:16:32,943	1,01599	0	7,883986E-02	11,46602	

2017-06-12 19:26:32,943	0,9812049	3,667963E-03	8,386874E-02	11,54295	

2017-06-12 19:36:32,943	0,9399414	0	8,110958E-02	11,54295	

2017-06-12 19:46:32,943	0,9000243	0	8,007813E-02	11,50182	

2017-06-12 19:56:32,943	0,8651124	1,45782E-03	7,634942E-02	11,35512	

2017-06-12 20:06:32,943	0,8337415	1,21485E-03	7,128321E-02	11,39889	

2017-06-12 20:16:32,943	0,8013954	1,21485E-03	7,758769E-02	11,44107	

2017-06-12 20:26:32,943	0,7698976	4,882813E-03	7,758769E-02	11,42317	

2017-06-12 20:36:32,943	0,7438977	3,667963E-03	7,000761E-02	11,39991	

2017-06-12 20:46:32,943	0,7188734	6,097662E-03	7,006836E-02	11,25856	

2017-06-12 20:56:32,943	0,6927516	4,001565E-02	7,128321E-02	11,25856	

2017-06-12 21:06:32,943	0,6723608	1,298066	9,624629E-02	11,21739	

2017-06-12 21:16:32,943	0,7022679	2,232384	0,2187932	11,24066	

2017-06-12 21:26:32,943	0,69739	1,705055	0,2700195	11,28183	

2017-06-12 21:36:32,943	0,7348633	3,426561	0,3874149	11,28183	

2017-06-12 21:46:32,943	0,8664489	6,719852	0,7822403	11,25856	

2017-06-12 21:56:32,943	0,8072533	2,602919	0,8862246	11,31305	

2017-06-12 22:06:32,943	0,7764881	3,093878	1,06753	11,25958	

2017-06-12 22:16:32,943	0,8239709	5,643038	1,603513	11,21739	

2017-06-12 22:26:32,943	1,102903	10,83657	3,774798	11,11259	

2017-06-12 22:36:32,943	0,9201711	3,185393	3,39531	11,13686	

2017-06-12 22:46:32,943	0,7862587	1,496416	2,308708	11,13686	

2017-06-12 22:56:32,943	0,7049562	0,7699966	1,583831	11,07242	

2017-06-12 23:06:32,943	0,6702882	0,6674914	1,260058	11,03125	

2017-06-12 23:16:32,943	0,6687024	0,6762646	1,064989	11,07319	

